Date;Créneau;Salle(s);Type d'activité;Cours - Description;Réservations
2016-11-01;13:30 - 15:20;B803;Cours;Cours d'Informatique théorique - CIR2 - Semestre 1;
2016-11-02;13:30 - 16:30;B802;Travaux Pratiques;Cours d'Informatique pratique - CIR2 - Semestre 1;
2016-11-03;10:15 - 12:00;B804;Cours;Cours d'informatique CIR3 - Semestre 1;
2016-11-04;08:15 - 12:15;C956;Travaux Pratiques;Cours d'informatique pratique CIR3 - Semestre 1;Vidéoprojecteur n°02
2016-11-05;13:30 - 15:20;B803;Cours;Cours d'Informatique théorique - CIR2 - Semestre 1;
2016-11-06;13:30 - 16:30;B802;Travaux Pratiques;Cours d'Informatique pratique - CIR2 - Semestre 1;
2016-11-07;13:30 - 17:15;A812;Cours;Module de Base C++;Vidéoprojecteur n°02
2016-11-08;10:15 - 12:00;B802;Cours;Cours d'informatique CIR3 - Semestre 1;
2016-11-09;08:15 - 12:15;C956;Travaux Pratiques;Cours d'informatique pratique CIR3 - Semestre 1;Vidéoprojecteur n°02
2016-11-10;13:30 - 15:20;B803;Cours;Cours d'Informatique théorique - CIR2 - Semestre 1;
2016-11-11;10:15 - 12:00;B804;Cours;Cours d'informatique CIR3 - Semestre 1;
2016-11-12;13:30 - 17:15;A812;Cours;Module de Base C++;Vidéoprojecteur n°02
2016-11-13;13:30 - 15:30;;;Cours d'Informatique théorique - CIR2 - Semestre 1;
2016-11-14;13:30 - 17:15;A812;Cours;Module de Base C++;Vidéoprojecteur n°02
2016-11-15;08:15 - 12:15;C956;Projet;Cours d'informatique pratique CIR3 - Semestre 1;Vidéoprojecteur n°02
2016-11-16;13:30 - 15:20;B804;Cours;Cours d'Informatique théorique - CIR2 - Semestre 1;
2016-11-17;15:30 - 17:15;B804;Cours;Cours d'informatique CIR3 - Semestre 1;
2016-11-18;13:30 - 16:30;;;Cours d'Informatique pratique - CIR2 - Semestre 1;
2016-11-19;10:15 - 12:00;B804;Cours;Cours d'informatique CIR3 - Semestre 1;
2016-11-20;13:30 - 17:15;A812;Cours;Module de Base C++;Vidéoprojecteur n°02
2016-11-21;08:15 - 12:15;C956;Projet;Cours d'informatique pratique CIR3 - Semestre 1;
2016-11-22;13:30 - 15:20;B804;Cours;Cours d'Informatique théorique - CIR2 - Semestre 1;
2016-11-23;13:30 - 16:30;B802;Travaux Pratiques;Cours d'Informatique pratique - CIR2 - Semestre 1;
2016-11-24;08:00 - 10:00;B506;Devoir Surveillé;Cours d'informatique CIR3 - Semestre 1;
2016-11-25;10:15 - 12:00;B804;Cours;Cours d'informatique CIR3 - Semestre 1;
2016-11-26;08:15 - 12:15;C956;Projet;Cours d'informatique pratique CIR3 - Semestre 1;Vidéoprojecteur n°02
2016-11-27;13:30 - 15:20;B804;Cours;Cours d'Informatique théorique - CIR2 - Semestre 1;
2016-11-28;13:30 - 16:30;B802;Travaux Pratiques;Cours d'Informatique pratique - CIR2 - Semestre 1;
2016-11-29;10:15 - 12:00;B804;Cours;Cours d'informatique CIR3 - Semestre 1;
2016-11-30;08:15 - 12:15;C956;Projet;Cours d'informatique pratique CIR3 - Semestre 1;
2016-11-31;13:30 - 15:20;B804;Cours;Cours d'Informatique théorique - CIR2 - Semestre 1;
2016-12-01;13:30 - 16:30;B802;Travaux Pratiques;Cours d'Informatique pratique - CIR2 - Semestre 1;
2016-12-02;08:15 - 12:15;C956;Projet;Cours d'informatique pratique CIR3 - Semestre 1;
2016-12-03;13:30 - 15:20;B804;Cours;Cours d'Informatique théorique - CIR2 - Semestre 1;
2016-12-04;13:30 - 16:30;B802;Travaux Pratiques;Cours d'Informatique pratique - CIR2 - Semestre 1;
2016-12-05;13:30 - 16:30;B802;Travaux Pratiques;Cours d'Informatique pratique - CIR2 - Semestre 1;
2016-12-06;08:15 - 12:15;C956;Projet;Cours d'informatique pratique CIR3 - Semestre 1;
2016-12-07;13:30 - 15:20;B804;Cours;Cours d'Informatique théorique - CIR2 - Semestre 1;
2016-12-08;13:30 - 16:30;B802;Travaux Pratiques;Cours d'Informatique pratique - CIR2 - Semestre 1;
2016-12-09;13:30 - 15:20;B804;Cours;Cours d'Informatique théorique - CIR2 - Semestre 1;
2016-12-10;13:30 - 16:30;B802;Travaux Pratiques;Cours d'Informatique pratique - CIR2 - Semestre 1;
